T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,,,,
,,,,,,,
Year,Region,County Name,District Name,District Number,Charter Status,Gender,Enrollment
2014-2015,10,DALLAS COUNTY,A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,OPEN ENROLLMENT CHARTER,Female,1144
2014-2015,10,DALLAS COUNTY,A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,OPEN ENROLLMENT CHARTER,Male,1008
2014-2015,10,DALLAS COUNTY,A+ ACADEMY,057829,OPEN ENROLLMENT CHARTER,Female,518
2014-2015,10,DALLAS COUNTY,A+ ACADEMY,057829,OPEN ENROLLMENT CHARTER,Male,457
2014-2015,12,HILL COUNTY,ABBOTT ISD,109901,TRADITIONAL ISD/CSD,Female,131
2014-2015,12,HILL COUNTY,ABBOTT ISD,109901,TRADITIONAL ISD/CSD,Male,133
2014-2015,17,HALE COUNTY,ABERNATHY ISD,095901,TRADITIONAL ISD/CSD,Female,387
2014-2015,17,HALE COUNTY,ABERNATHY ISD,095901,TRADITIONAL ISD/CSD,Male,392
2014-2015,14,TAYLOR COUNTY,ABILENE ISD,221901,TRADITIONAL ISD/CSD,Female,8448
2014-2015,14,TAYLOR COUNTY,ABILENE ISD,221901,TRADITIONAL ISD/CSD,Male,8876
2014-2015,10,DALLAS COUNTY,ACADEMY FOR ACADEMIC EXCELLENCE,057814,OPEN ENROLLMENT CHARTER,Female,87
2014-2015,10,DALLAS COUNTY,ACADEMY FOR ACADEMIC EXCELLENCE,057814,OPEN ENROLLMENT CHARTER,Male,419
2014-2015,12,BELL COUNTY,ACADEMY ISD,014901,TRADITIONAL ISD/CSD,Female,636
2014-2015,12,BELL COUNTY,ACADEMY ISD,014901,TRADITIONAL ISD/CSD,Male,728
2014-2015,04,HARRIS COUNTY,ACADEMY OF ACCELERATED LEARNING IN,101810,OPEN ENROLLMENT CHARTER,Female,385
2014-2015,04,HARRIS COUNTY,ACADEMY OF ACCELERATED LEARNING IN,101810,OPEN ENROLLMENT CHARTER,Male,362
2014-2015,20,BEXAR COUNTY,ACADEMY OF CAREERS AND TECHNOLOGIE,015816,OPEN ENROLLMENT CHARTER,Female,117
2014-2015,20,BEXAR COUNTY,ACADEMY OF CAREERS AND TECHNOLOGIE,015816,OPEN ENROLLMENT CHARTER,Male,105
