T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2023-2024,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Female,414
2023-2024,10,DALLAS COUNTY,057816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Male,364
2023-2024,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Female,796
2023-2024,10,DALLAS COUNTY,057829,A+ ACADEMY,OPEN ENROLLMENT CHARTER,Male,853
2023-2024,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Female,87
2023-2024,04,HARRIS COUNTY,101871,A+ UNLIMITED POTENTIAL,OPEN ENROLLMENT CHARTER,Male,63
2023-2024,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Female,122
2023-2024,12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,Male,162
2023-2024,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Female,424
2023-2024,17,HALE COUNTY,095901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Male,388
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Female,7132
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Male,7520
2023-2024,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Female,76
2023-2024,10,DALLAS COUNTY,057814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,Male,267
2023-2024,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Female,874
2023-2024,12,BELL COUNTY,014901,ACADEMY ISD,TRADITIONAL ISD/CSD,Male,940
2023-2024,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Female,433
2023-2024,04,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING INC,OPEN ENROLLMENT CHARTER,Male,397
2023-2024,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Female,163
2023-2024,10,DALLAS COUNTY,057810,ACADEMY OF DALLAS,OPEN ENROLLMENT CHARTER,Male,191
2023-2024,11,TARRANT COUNTY,220821,ACADEMY OF VISUAL AND PERFORMING ARTS,OPEN ENROLLMENT CHARTER,Female,71
2023-2024,11,TARRANT COUNTY,220821,ACADEMY OF VISUAL AND PERFORMING ARTS,OPEN ENROLLMENT CHARTER,Male,34
2023-2024,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Female,90
2023-2024,04,HARRIS COUNTY,101849,ACCELERATED INTERMEDIATE ACADEMY,OPEN ENROLLMENT CHARTER,Male,102
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Female,57
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Male,60
2023-2024,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Female,476
2023-2024,10,DALLAS COUNTY,057806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Male,495
2023-2024,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Female,199
2023-2024,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Male,192
2023-2024,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Female,2258
2023-2024,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Male,2440
2023-2024,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Female,378
2023-2024,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Male,456
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Female,234
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Male,262
2023-2024,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Female,28417
2023-2024,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Male,29427
2023-2024,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Female,3951
2023-2024,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Male,4210
2023-2024,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Female,2195
2023-2024,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Male,2291
2023-2024,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Female,18897
2023-2024,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Male,20577
2023-2024,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Female,216
2023-2024,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Male,168
2023-2024,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Female,10388
2023-2024,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Male,10982
2023-2024,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Female,461
2023-2024,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Male,457
2023-2024,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Female,246
2023-2024,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Male,258
2023-2024,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Female,1764
2023-2024,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Male,2018
